,,,precision,precision,recall,recall,f1,f1,support,support
,,,mean,std,mean,std,mean,std,mean,std
architecture,augmentation,class,,,,,,,,
ConvNeXt,baseline,cardboard,0.3992,0.0548,0.7175,0.0975,0.5072,0.0304,80.0,0.0
ConvNeXt,baseline,glass,0.9276,0.0326,0.4375,0.0545,0.5926,0.0489,80.0,0.0
ConvNeXt,baseline,metal,0.692,0.1789,0.4475,0.1456,0.5083,0.0728,80.0,0.0
ConvNeXt,baseline,paper,0.3235,0.0238,0.525,0.0476,0.3998,0.028,80.0,0.0
ConvNeXt,baseline,plastic,0.4747,0.0379,0.51,0.1303,0.4825,0.0586,80.0,0.0
ConvNeXt,baseline,trash,0.663,0.1759,0.1487,0.0863,0.2346,0.1218,78.0,0.0
ConvNeXt,geo,cardboard,0.3683,0.0331,0.7125,0.0685,0.4843,0.0358,80.0,0.0
ConvNeXt,geo,glass,0.8487,0.1003,0.37,0.1201,0.5018,0.1049,80.0,0.0
ConvNeXt,geo,metal,0.4612,0.0473,0.4475,0.1066,0.4451,0.0488,80.0,0.0
ConvNeXt,geo,paper,0.3643,0.0487,0.4425,0.0464,0.3963,0.0255,80.0,0.0
ConvNeXt,geo,plastic,0.4349,0.0687,0.4925,0.1134,0.4488,0.0246,80.0,0.0
ConvNeXt,geo,trash,0.8353,0.1288,0.141,0.0594,0.2365,0.0842,78.0,0.0
ConvNeXt,mixed,cardboard,0.4186,0.038,0.715,0.0693,0.5251,0.0209,80.0,0.0
ConvNeXt,mixed,glass,0.9106,0.049,0.505,0.0659,0.6464,0.0479,80.0,0.0
ConvNeXt,mixed,metal,0.5686,0.1243,0.565,0.0872,0.551,0.0317,80.0,0.0
ConvNeXt,mixed,paper,0.4034,0.0712,0.4625,0.1796,0.4,0.0872,80.0,0.0
ConvNeXt,mixed,plastic,0.4744,0.0664,0.545,0.0758,0.505,0.0584,80.0,0.0
ConvNeXt,mixed,trash,0.7524,0.1202,0.182,0.0808,0.2869,0.1003,78.0,0.0
ConvNeXt,photo,cardboard,0.3851,0.0185,0.71,0.0924,0.4975,0.0262,80.0,0.0
ConvNeXt,photo,glass,0.9173,0.0429,0.52,0.0779,0.6594,0.0621,80.0,0.0
ConvNeXt,photo,metal,0.6236,0.112,0.5525,0.0687,0.5768,0.0355,80.0,0.0
ConvNeXt,photo,paper,0.3605,0.0591,0.505,0.0473,0.4171,0.0358,80.0,0.0
ConvNeXt,photo,plastic,0.53,0.0925,0.4175,0.0869,0.456,0.0551,80.0,0.0
ConvNeXt,photo,trash,0.6527,0.1107,0.2308,0.1445,0.3118,0.1152,78.0,0.0
DenseNet,baseline,cardboard,0.3129,0.0304,0.8575,0.0622,0.4577,0.037,80.0,0.0
DenseNet,baseline,glass,0.8269,0.0718,0.47,0.0647,0.5948,0.0458,80.0,0.0
DenseNet,baseline,metal,0.4877,0.0915,0.4425,0.093,0.4598,0.0822,80.0,0.0
DenseNet,baseline,paper,0.3215,0.0218,0.3625,0.058,0.339,0.0288,80.0,0.0
DenseNet,baseline,plastic,0.6171,0.0676,0.2775,0.0994,0.374,0.0946,80.0,0.0
DenseNet,baseline,trash,0.7638,0.1476,0.1103,0.0421,0.1911,0.0686,78.0,0.0
DenseNet,geo,cardboard,0.2993,0.0219,0.73,0.1181,0.4218,0.0254,80.0,0.0
DenseNet,geo,glass,0.7786,0.0756,0.465,0.0602,0.5813,0.0637,80.0,0.0
DenseNet,geo,metal,0.4566,0.0887,0.4575,0.059,0.452,0.0498,80.0,0.0
DenseNet,geo,paper,0.3513,0.04,0.32,0.1233,0.3198,0.0677,80.0,0.0
DenseNet,geo,plastic,0.5145,0.0684,0.38,0.0954,0.4277,0.061,80.0,0.0
DenseNet,geo,trash,0.8559,0.0973,0.1615,0.116,0.2538,0.1457,78.0,0.0
DenseNet,mixed,cardboard,0.3215,0.0327,0.65,0.0781,0.4288,0.036,80.0,0.0
DenseNet,mixed,glass,0.7471,0.13,0.505,0.1517,0.5782,0.0317,80.0,0.0
DenseNet,mixed,metal,0.5245,0.0841,0.5275,0.1055,0.519,0.0613,80.0,0.0
DenseNet,mixed,paper,0.3948,0.1074,0.4175,0.1258,0.3806,0.0446,80.0,0.0
DenseNet,mixed,plastic,0.5019,0.0803,0.4,0.1202,0.4272,0.0531,80.0,0.0
DenseNet,mixed,trash,0.8666,0.1032,0.1564,0.0663,0.2579,0.0934,78.0,0.0
DenseNet,photo,cardboard,0.3026,0.0251,0.815,0.0854,0.4401,0.0313,80.0,0.0
DenseNet,photo,glass,0.8859,0.0335,0.48,0.0882,0.6174,0.0659,80.0,0.0
DenseNet,photo,metal,0.6676,0.0685,0.4775,0.0487,0.5528,0.0235,80.0,0.0
DenseNet,photo,paper,0.2872,0.0183,0.3725,0.0495,0.3228,0.0202,80.0,0.0
DenseNet,photo,plastic,0.5794,0.0553,0.24,0.0596,0.336,0.0642,80.0,0.0
DenseNet,photo,trash,0.7026,0.1265,0.1949,0.0818,0.2963,0.093,78.0,0.0
ResNet,baseline,cardboard,0.39,0.0601,0.7975,0.1327,0.5155,0.0303,80.0,0.0
ResNet,baseline,glass,0.8552,0.046,0.5875,0.0442,0.6947,0.0273,80.0,0.0
ResNet,baseline,metal,0.6248,0.0862,0.5425,0.0748,0.5734,0.0323,80.0,0.0
ResNet,baseline,paper,0.3777,0.033,0.4375,0.105,0.4002,0.0488,80.0,0.0
ResNet,baseline,plastic,0.5862,0.0833,0.5325,0.1261,0.5442,0.0416,80.0,0.0
ResNet,baseline,trash,0.8923,0.121,0.1692,0.0211,0.2836,0.0306,78.0,0.0
ResNet,geo,cardboard,0.3473,0.0592,0.6725,0.1633,0.4524,0.0703,80.0,0.0
ResNet,geo,glass,0.882,0.0493,0.6275,0.064,0.7304,0.0389,80.0,0.0
ResNet,geo,metal,0.6702,0.0457,0.5475,0.0742,0.5999,0.0489,80.0,0.0
ResNet,geo,paper,0.3787,0.0445,0.5525,0.1091,0.442,0.0314,80.0,0.0
ResNet,geo,plastic,0.6522,0.0903,0.51,0.1187,0.5593,0.04,80.0,0.0
ResNet,geo,trash,0.8134,0.1022,0.1384,0.0278,0.2348,0.0411,78.0,0.0
ResNet,mixed,cardboard,0.4078,0.0357,0.6475,0.0555,0.4997,0.0378,80.0,0.0
ResNet,mixed,glass,0.8683,0.0309,0.6675,0.0274,0.7541,0.0146,80.0,0.0
ResNet,mixed,metal,0.6127,0.0528,0.7025,0.0602,0.6516,0.0296,80.0,0.0
ResNet,mixed,paper,0.4047,0.0194,0.5775,0.0463,0.4746,0.0128,80.0,0.0
ResNet,mixed,plastic,0.6232,0.0823,0.4925,0.0665,0.543,0.0245,80.0,0.0
ResNet,mixed,trash,0.8234,0.0757,0.1743,0.0612,0.2824,0.0869,78.0,0.0
ResNet,photo,cardboard,0.4811,0.0534,0.71,0.0445,0.5721,0.0406,80.0,0.0
ResNet,photo,glass,0.8999,0.0102,0.695,0.0391,0.7837,0.0246,80.0,0.0
ResNet,photo,metal,0.666,0.0777,0.69,0.0324,0.6749,0.036,80.0,0.0
ResNet,photo,paper,0.3791,0.0211,0.57,0.123,0.4526,0.0542,80.0,0.0
ResNet,photo,plastic,0.6838,0.0401,0.56,0.0389,0.6142,0.0195,80.0,0.0
ResNet,photo,trash,0.7832,0.1281,0.2667,0.0867,0.3863,0.0841,78.0,0.0
