,,source_acc,source_acc,source_macro_precision,source_macro_precision,source_macro_recall,source_macro_recall,source_macro_f1,source_macro_f1,target_acc,target_acc,target_macro_precision,target_macro_precision,target_macro_recall,target_macro_recall,target_macro_f1,target_macro_f1,macro_f1_drop,macro_f1_drop
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
architecture,augmentation,,,,,,,,,,,,,,,,,,
ConvNeXt,baseline,0.9424,0.0043,0.9306,0.0151,0.9294,0.0135,0.9281,0.0117,0.4657,0.0331,0.58,0.0363,0.4644,0.0332,0.4542,0.0394,0.4739,0.0429
ConvNeXt,geo,0.9385,0.0042,0.9354,0.011,0.9182,0.0134,0.9233,0.0087,0.4356,0.0262,0.5521,0.0193,0.4343,0.026,0.4188,0.0261,0.5045,0.0266
ConvNeXt,mixed,0.93,0.0132,0.9249,0.0222,0.9134,0.017,0.917,0.0177,0.4971,0.0189,0.588,0.0328,0.4957,0.0191,0.4857,0.0284,0.4313,0.0262
ConvNeXt,photo,0.937,0.0097,0.929,0.0115,0.9248,0.0114,0.9254,0.0081,0.4904,0.0342,0.5782,0.0344,0.4893,0.0346,0.4864,0.0403,0.439,0.0436
DenseNet,baseline,0.9556,0.0081,0.9525,0.0058,0.9461,0.0183,0.948,0.0109,0.4213,0.0271,0.555,0.0322,0.42,0.0271,0.4027,0.0312,0.5453,0.0341
DenseNet,geo,0.9486,0.0101,0.951,0.0104,0.9378,0.0194,0.9424,0.016,0.4201,0.0306,0.5427,0.0139,0.419,0.0307,0.4094,0.0358,0.533,0.0313
DenseNet,mixed,0.9362,0.0155,0.9362,0.0216,0.9259,0.0197,0.9282,0.0192,0.4439,0.0235,0.5594,0.0258,0.4427,0.0236,0.432,0.0316,0.4963,0.0325
DenseNet,photo,0.9564,0.015,0.9541,0.0133,0.9497,0.0254,0.9507,0.0193,0.431,0.0269,0.5709,0.0317,0.43,0.0271,0.4276,0.0286,0.5232,0.0188
ResNet,baseline,0.958,0.0051,0.9618,0.0081,0.9497,0.0107,0.9548,0.0087,0.5126,0.0221,0.621,0.0193,0.5111,0.0221,0.5019,0.0209,0.4529,0.0238
ResNet,geo,0.9463,0.0121,0.9567,0.0088,0.9332,0.0165,0.9426,0.0135,0.5096,0.0282,0.624,0.0096,0.5081,0.0281,0.5031,0.0229,0.4394,0.0186
ResNet,mixed,0.9486,0.0097,0.9471,0.0141,0.94,0.0087,0.9423,0.0111,0.5452,0.0095,0.6234,0.0162,0.5436,0.0095,0.5343,0.0107,0.4081,0.0116
ResNet,photo,0.9634,0.0112,0.9698,0.0095,0.9547,0.0158,0.9607,0.0129,0.5833,0.0261,0.6489,0.0292,0.5819,0.0263,0.5806,0.0312,0.3801,0.0364
